,Site,Year,Species,Phytometer,Neighbour,Treatment,light,carbon,WUE
921,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,200,6.1,1.33
922,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,100,1.7,0.43
923,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,50,0,0
924,PCA6CU,2017,Phragmites,Phragmites_Carex,Carex,Without competition,0,-1.6,-0.57
925,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,26.3,3.01
926,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,23.4,4.02
927,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,16.2,2.99
928,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,7.5,1.58
929,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,2.7,0.64
930,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,1,0.32
931,PCC1,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-1.5,-0.98
932,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1500,16.3,3.08
933,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1000,15.7,3.97
934,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,500,11.1,3.26
935,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,200,4.8,1.76
936,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,100,1.3,0.57
937,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,50,-0.6,-0.32
938,PCC1CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,0,-1.9,-1.15
939,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,17.7,3.21
940,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,15.2,4.37
941,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,500,11.7,3.62
942,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,200,5.6,1.94
943,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,100,1.9,0.84
944,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,50,0.7,0.39
945,PCC2,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,0,-0.7,-0.71
946,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1500,16,3.56
947,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,1000,13.9,4.38
948,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,500,10.2,4.05
949,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,200,5.1,2.58
950,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,100,2.2,1.62
951,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,50,0.4,0.37
952,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Without competition,0,-0.4,-0.54
953,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,19.2,2.99
954,PCC3,2017,Phragmites,Phragmites_Calamagrostis,Calamagrostis,Competition,1000,17.3,3.92
