Site,Year,Species,Phytometer,Neighbour,Treatment,light,carbon,WUE
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,0.6,0.3
CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,-0.1,-0.06
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,18.4,2.41
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,16.8,2.84
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,13.1,2.44
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,5.7,1.35
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,3.5,0.72
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,1.5,0.33
CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,-0.1,-0.02
CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,12.5,1.79
CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,11.6,2.46
CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,10,2.27
CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,5.7,1.47
CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,2.8,0.81
CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,1.3,0.4
CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,0,0
CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,15.6,2.17
CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,14.4,2.72
CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,11.6,2.76
CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,5.9,1.31
CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,3,0.83
CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,1.2,0.37
CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,-0.2,-0.07
CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,11.6,2.64
CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,10.1,3.75
CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,8.9,3.89
CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,5.6,2.69
CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,2.7,1.42
CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,1,0.78
CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,-0.2,-0.2
CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,14.8,2.5
CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,13.7,3.47
CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,11.6,3.45
CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,6.3,2.08
CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,3.1,1.28
CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,1.6,0.8
CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,0,0
CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,11.4,1.99
CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,10.8,2.76
CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,9,2.77
CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,5.5,2.19
CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,2.4,1.29
CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,1.1,0.71
CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,-0.6,-0.48
CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,5.5,1.38
CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,5.4,2.29
CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,500,5.6,2.75
CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,200,4.2,2.44
CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,100,2,1.52
CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,50,0.5,0.5
CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,0,-0.5,-0.67
CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1500,7.8,1.86
CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,1000,7.8,2.79
CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,500,7.4,2.75
CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,200,5.1,2.04
CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,100,2.6,1.16
CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,50,1.2,0.58
CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,0,-0.1,-0.06
CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1500,16.5,2.42
CCP6CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,1000,15.6,3.28
