"","Site","Year","Species","spp_trt","Phytometer","Neighbour","Treatment","light","carbon","WUE"
"76","CCP3",2016,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",10.8,1.7
"77","CAP1",2017,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",10.1,1.98
"78","CAP10",2017,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",12.4,2.56
"79","CAP10CU",2017,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",14,2.68
"80","CAP11",2017,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",12.2,1.95
"81","CAP12",2017,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",8.1,2.09
"82","CAP12CU",2017,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",14.7,2.28
"83","CAP1CU",2017,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",14.5,2.44
"84","CAP2",2017,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",10.3,2.6
"85","CAP2CU",2017,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",12,2.52
"86","CAP3",2017,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",9.5,2.23
"87","CAP3CU",2017,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",10.9,2.2
"88","CAP4",2017,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",15,2.27
"89","CAP4CU",2017,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",15.3,2.94
"90","CAP5",2017,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",13.8,2.48
"91","CAP5CU",2017,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",17,3.05
"92","CAP6",2017,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",11.9,2.2
"93","CAP6CU",2017,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",13.7,2.28
"94","CAP7CU",2017,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",13.8,2.22
"95","CAP9",2017,"Carex","Carex_Phragmites_Competition","Carex_Phragmites","Phragmites","Competition","1500",13.6,2.52
"96","CAP9CU",2017,"Carex","Carex_Phragmites_No competition","Carex_Phragmites","Phragmites","No competition","1500",24.9,2.84
"97","CCP1",2017,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",5.5,1.57
"98","CCP10",2017,"Calamagrostis","Calamagrostis_Phragmites_Competition","Calamagrostis_Phragmites","Phragmites","Competition","1500",9.4,1.8
"99","CCP10CU",2017,"Calamagrostis","Calamagrostis_Phragmites_No competition","Calamagrostis_Phragmites","Phragmites","No competition","1500",10.9,2.71
