,Site,Year,Species,Phytometer,Neighbour,Treatment,Date,light,carbon,WUE
125,CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,50,-0.8,
126,CAP7CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,09-Jul-17,0,-0.6,
127,CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,1500,13.6,
128,CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,1000,13.1,
129,CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,500,10.3,
130,CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,200,5.8,
131,CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,100,2.5,
132,CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,50,0.9,
133,CAP9,2017,Carex,Carex_Phragmites,Phragmites,Competition,11-Jul-17,0,-0.2,
134,CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,11-Jul-17,1500,24.9,
135,CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,11-Jul-17,1000,17.1,
136,CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,11-Jul-17,500,12.5,
137,CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,11-Jul-17,200,5.7,
138,CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,11-Jul-17,100,1.8,
139,CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,11-Jul-17,50,-0.1,
140,CAP9CU,2017,Carex,Carex_Phragmites,Phragmites,No competition,11-Jul-17,0,-1.2,
141,CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,1500,5.5,
142,CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,1000,5.5,
143,CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,500,5,
144,CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,200,2.8,
145,CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,100,1.5,
146,CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,50,0.8,
147,CCP1,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,0,0.4,
148,CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,1500,9.4,
149,CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,1000,8.8,
150,CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,500,7.2,
151,CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,200,3.2,
152,CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,100,1.1,
153,CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,50,0,
154,CCP10,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,0,-0.9,
155,CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,1500,10.9,
156,CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,1000,10.7,
157,CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,500,9.8,
158,CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,200,5.4,
159,CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,100,2.6,
160,CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,50,1.7,
161,CCP10CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,0,-0.5,
162,CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,1500,9.1,
163,CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,1000,8.5,
164,CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,500,7.5,
165,CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,200,4,
166,CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,100,1.8,
167,CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,50,0.5,
168,CCP11,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,0,-0.6,
169,CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,1500,12.9,
170,CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,1000,12.4,
171,CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,500,10.4,
172,CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,200,5.7,
173,CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,100,2.7,
174,CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,50,1,
175,CCP11CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,0,-0.3,
176,CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,09-Jul-17,1500,5.1,
177,CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,09-Jul-17,1000,4.5,
178,CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,09-Jul-17,500,3.8,
179,CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,09-Jul-17,200,2.8,
180,CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,09-Jul-17,100,1.3,
181,CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,09-Jul-17,50,-0.1,
182,CCP12,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,09-Jul-17,0,-0.9,
183,CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,09-Jul-17,1500,14.3,
184,CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,09-Jul-17,1000,13.5,
185,CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,09-Jul-17,500,11,
186,CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,09-Jul-17,200,6.1,
187,CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,09-Jul-17,100,2.7,
188,CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,09-Jul-17,50,1.2,
189,CCP12CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,09-Jul-17,0,0,
190,CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,1500,14.5,
191,CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,1000,13,
192,CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,500,10.8,
193,CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,200,6.6,
194,CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,100,3.6,
195,CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,50,1.6,
196,CCP1CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,0,0.2,
197,CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,1500,9.8,
198,CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,1000,9,
199,CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,500,7.6,
200,CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,200,4.4,
201,CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,100,1.9,
202,CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,50,0.6,
203,CCP2,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,0,-0.1,
204,CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,1500,18.4,
205,CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,1000,16.8,
206,CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,500,13.1,
207,CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,200,5.7,
208,CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,100,3.5,
209,CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,50,1.5,
210,CCP2CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,0,-0.1,
211,CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,1500,12.5,
212,CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,1000,11.6,
213,CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,500,10,
214,CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,200,5.7,
215,CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,100,2.8,
216,CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,50,1.3,
217,CCP3,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,0,0,
218,CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,1500,15.6,
219,CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,1000,14.4,
220,CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,500,11.6,
221,CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,200,5.9,
222,CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,100,3,
223,CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,50,1.2,
224,CCP3CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,0,-0.2,
225,CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,1500,11.6,
226,CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,1000,10.1,
227,CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,500,8.9,
228,CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,200,5.6,
229,CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,100,2.7,
230,CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,50,1,
231,CCP4,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,04-Jul-17,0,-0.2,
232,CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,1500,14.8,
233,CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,1000,13.7,
234,CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,500,11.6,
235,CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,200,6.3,
236,CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,100,3.1,
237,CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,50,1.6,
238,CCP4CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,04-Jul-17,0,0,
239,CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,1500,11.4,
240,CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,1000,10.8,
241,CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,500,9,
242,CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,200,5.5,
243,CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,100,2.4,
244,CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,50,1.1,
245,CCP5,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,0,-0.6,
246,CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,1500,5.5,
247,CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,1000,5.4,
248,CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,500,5.6,
249,CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,200,4.2,
250,CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,100,2,
251,CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,50,0.5,
252,CCP5CU,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,No competition,06-Jul-17,0,-0.5,
253,CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,1500,7.8,
254,CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,1000,7.8,
255,CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,500,7.4,
256,CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,200,5.1,
257,CCP6,2017,Calamagrostis,Calamagrostis_Phragmites,Phragmites,Competition,06-Jul-17,100,2.6,
