Pair,Site,Year,Species,spp_trt,Phytometer,Neighbour,Treatment,light,carbon,WUE
2,PCC2,2017,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,17.7,3.21
2,PCC2CU,2017,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,16,3.56
3,PCC3,2017,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,19.2,2.99
3,PCC3CU,2017,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,15.4,3.02
4,PCC4,2017,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,21.2,2.62
4,PCC4CU,2017,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,16.9,2.79
5,PCC5,2017,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.75,2.24
5,PCC5CU,2017,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,17.7,2.48
6,PCC6,2017,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.2,2.84
6,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,17.45,2.51
1,PTY1,2017,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,12.2,2.26
1,PTY1CU,2017,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,16.1,3.49
2,PTY2,2017,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,24,2.7
2,PTY2CU,2017,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,23.1,2.49
3,PTY3,2017,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,21.9,2.88
4,PTY4,2017,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,22,2.84
4,PTY4CU,2017,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,28.7,3.22
5,PTY5,2017,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,21.9,2.52
6,PTY6,2017,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,23.1,3.15
6,PTY6CU,2017,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,26,3.09
1,TYP1,2017,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,7.8,1.88
1,TYP1CU,2017,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,6.7,1.47
2,TYP2,2017,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,13.3,1.61
2,TYP2CU,2017,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,18.9,1.87
3,TYP3,2017,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,17.7,2.14
3,TYP3CU,2017,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,20.7,1.9
4,TYP4,2017,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,21.3,2.45
4,TYP4CU,2017,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,23.8,2.07
5,TYP5,2017,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,22.6,1.91
5,TYP5CU,2017,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,21.3,2.22
6,TYP6,2017,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,22.3,2.17
6,TYP6CU,2017,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,24,2.04
