Pair,Site,Year,Species,spp_trt,Phytometer,Neighbour,Treatment,light,carbon,WUE,WUE.RCI,WUE.RCI,,
36,PCC6,2017,Phragmites,Phragmites_Calamagrostis_Competition,Phragmites_Calamagrostis,Calamagrostis,Competition,1500,15.2,2.84,,,,
36,PCC6CU,2017,Phragmites,Phragmites_Calamagrostis_No competition,Phragmites_Calamagrostis,Calamagrostis,No competition,1500,17.45,2.51,-0.131474104,-0.131474104,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,PCA1,2016,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,11.9,2.44,,,,
1,PCA1CU,2016,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,23.9,3.17,0.230283912,0.230283912,,0.046515004
2,PCA2,2016,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,22.5,3.03,,,,0.188271426
2,PCA2CU,2016,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,23.5,3.13,0.031948882,0.031948882,,0.056765971
3,PCA3,2016,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,17.1,2.71,,,,
3,PCA3CU,2016,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,22.2,3.34,0.188622754,0.188622754,,
4,PCA4,2016,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,15,2.88,,,,
4,PCA4CU,2016,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,25.4,3.35,0.140298507,0.140298507,,
5,PCA5,2016,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,20.4,2.72,,,,
6,PCA6,2016,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,20.9,2.8,,,,
6,PCA6CU,2016,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,23.6,3.04,0.078947368,0.078947368,,
31,PCA1,2017,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,18.9,3.29,,,,
31,PCA1CU,2017,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,14.7,2.63,-0.25095057,-0.25095057,,
32,PCA2,2017,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,13,2.81,,,,
32,PCA2CU,2017,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,19.7,3.09,0.090614887,0.090614887,,
33,PCA3,2017,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,16.4,2.28,,,,
33,PCA3CU,2017,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,18.1,3.01,0.242524917,0.242524917,,
34,PCA4,2017,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,19.9,3.02,,,,
34,PCA4CU,2017,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,25.9,2.23,-0.35426009,-0.35426009,,
35,PCA5,2017,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,21,3.03,,,,
35,PCA5CU,2017,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,15.6,3.28,0.076219512,0.076219512,,
36,PCA6,2017,Phragmites,Phragmites_Carex_Competition,Phragmites_Carex,Carex,Competition,1500,22.3,2.83,,,,
36,PCA6CU,2017,Phragmites,Phragmites_Carex_No competition,Phragmites_Carex,Carex,No competition,1500,23.1,2.94,0.037414966,0.037414966,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,PTY1,2016,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,17.7,3.06,,,,0.052582487
1,PTY1CU,2016,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,22.5,3.57,0.142857143,0.142857143,,0.139343856
2,PTY2,2016,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,16.8,3.3,,,,0.044064396
2,PTY2CU,2016,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,25.8,3.79,0.129287599,0.129287599,,
3,PTY3,2016,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,15.1,3.29,,,,
3,PTY3CU,2016,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,22,3.31,0.006042296,0.006042296,,
4,PTY4,2016,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,23.5,4.38,,,,
4,PTY4CU,2016,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,23.2,4.11,-0.065693431,-0.065693431,,
5,PTY5,2016,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,18.2,3.23,,,,
5,PTY5CU,2016,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,5.7,2.91,-0.109965636,-0.109965636,,
6,PTY6,2016,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,22.1,3,,,,
6,PTY6CU,2016,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,19.6,3.18,0.056603774,0.056603774,,
31,PTY1,2017,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,12.2,2.26,,,,
31,PTY1CU,2017,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,16.1,3.49,0.35243553,0.35243553,,
32,PTY2,2017,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,24,2.7,,,,
32,PTY2CU,2017,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,23.1,2.49,-0.084337349,-0.084337349,,
33,PTY3,2017,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,21.9,2.88,,,,
34,PTY4,2017,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,22,2.84,,,,
34,PTY4CU,2017,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,28.7,3.22,0.118012422,0.118012422,,
35,PTY5,2017,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,21.9,2.52,,,,
36,PTY6,2017,Phragmites,Phragmites_Typha_Competition,Phragmites_Typha,Typha,Competition,1500,23.1,3.15,,,,
36,PTY6CU,2017,Phragmites,Phragmites_Typha_No competition,Phragmites_Typha,Typha,No competition,1500,26,3.09,-0.019417476,-0.019417476,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,TYP4,2016,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,15.9,2.6,,,,
4,TYP4CU,2016,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,16.1,2.17,-0.198156682,-0.198156682,,0.007180922
5,TYP5,2016,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,19.5,2.58,,,,0.188861584
5,TYP5CU,2016,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,17.4,2.17,-0.188940092,-0.188940092,,0.05694391
6,TYP6,2016,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,16.7,2.39,,,,
6,TYP6CU,2016,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,24.5,3.04,0.213815789,0.213815789,,
1,TYP1,2016,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,21.5,2.83,,,,
1,TYP1CU,2016,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,28.1,3.12,0.092948718,0.092948718,,
2,TYP2,2016,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,19.2,2.69,,,,
2,TYP2CU,2016,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,27,3.83,0.297650131,0.297650131,,
3,TYP3,2016,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,13.8,2.92,,,,
3,TYP3CU,2016,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,20.1,3.08,0.051948052,0.051948052,,
31,TYP1,2017,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,7.8,1.88,,,,
31,TYP1CU,2017,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,6.7,1.47,-0.278911565,-0.278911565,,
32,TYP2,2017,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,13.3,1.61,,,,
32,TYP2CU,2017,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,18.9,1.87,0.139037433,0.139037433,,
33,TYP3,2017,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,17.7,2.14,,,,
33,TYP3CU,2017,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,20.7,1.9,-0.126315789,-0.126315789,,
34,TYP4,2017,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,21.3,2.45,,,,
34,TYP4CU,2017,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,23.8,2.07,,,,
35,TYP5,2017,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,22.6,1.91,,,,
35,TYP5CU,2017,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,21.3,2.22,0.13963964,0.13963964,,
36,TYP6,2017,Typha,Typha_Phragmites_Competition,Typha_Phragmites,Phragmites,Competition,1500,22.3,2.17,,,,
36,TYP6CU,2017,Typha,Typha_Phragmites_No competition,Typha_Phragmites,Phragmites,No competition,1500,24,2.04,-0.06372549,-0.06372549,,
