"","Site.ID","Species","Neighbours","Competition","date","height"
"238","CCP9CU","Calamagrostis","Phragmites","No","160617","100"
"239","CCP9CU","Calamagrostis","Phragmites","No","270517","81"
"240","CCP9CU","Calamagrostis","Phragmites","No","280617","103"
"241","PCA1","Phragmites","Carex","Yes","070617","158"
"242","PCA1","Phragmites","Carex","Yes","100517","56"
"243","PCA1","Phragmites","Carex","Yes","160617","193"
"244","PCA1","Phragmites","Carex","Yes","270517","136"
"245","PCA1","Phragmites","Carex","Yes","280617","225"
"246","PCA1CU","Phragmites","Carex","No","070617","120"
"247","PCA1CU","Phragmites","Carex","No","100517","54"
"248","PCA1CU","Phragmites","Carex","No","160617","130"
"249","PCA1CU","Phragmites","Carex","No","270517","107"
"250","PCA1CU","Phragmites","Carex","No","280617","148"
"251","PCA2","Phragmites","Carex","Yes","070617","112"
"252","PCA2","Phragmites","Carex","Yes","100517","53"
"253","PCA2","Phragmites","Carex","Yes","160617","142"
"254","PCA2","Phragmites","Carex","Yes","270517","89"
"255","PCA2","Phragmites","Carex","Yes","280617","170"
"256","PCA2CU","Phragmites","Carex","No","070617","116"
"257","PCA2CU","Phragmites","Carex","No","100517","50"
"258","PCA2CU","Phragmites","Carex","No","160617","144"
"259","PCA2CU","Phragmites","Carex","No","270517","110"
"260","PCA2CU","Phragmites","Carex","No","280617","165"
"261","PCA3","Phragmites","Typha","Yes","070617","131"
"262","PCA3","Phragmites","Typha","Yes","100517","77"
"263","PCA3","Phragmites","Typha","Yes","160617","160"
"264","PCA3","Phragmites","Typha","Yes","270517","108"
"265","PCA3","Phragmites","Typha","Yes","280617","173"
"266","PCA3CU","Phragmites","Typha","No","070617","149"
"267","PCA3CU","Phragmites","Typha","No","100517","76"
"268","PCA3CU","Phragmites","Typha","No","160617","174"
"269","PCA3CU","Phragmites","Typha","No","270517","129"
"270","PCA3CU","Phragmites","Typha","No","280617","175"
"271","PCA4","Phragmites","Typha","Yes","070617","200"
"272","PCA4","Phragmites","Typha","Yes","100517","85"
"273","PCA4","Phragmites","Typha","Yes","160617","210"
"274","PCA4","Phragmites","Typha","Yes","270517","159"
"275","PCA4","Phragmites","Typha","Yes","280617","220"
"276","PCA4CU","Phragmites","Typha","No","070617","144"
"277","PCA4CU","Phragmites","Typha","No","100517","87"
"278","PCA4CU","Phragmites","Typha","No","160617","147"
"279","PCA4CU","Phragmites","Typha","No","270517","130"
"280","PCA4CU","Phragmites","Typha","No","280617","147"
"281","PCA5","Phragmites","Typha","Yes","070617","135"
"282","PCA5","Phragmites","Typha","Yes","100517","68"
"283","PCA5","Phragmites","Typha","Yes","160617","152"
"284","PCA5","Phragmites","Typha","Yes","270517","113"
"285","PCA5","Phragmites","Typha","Yes","280617","180"
"286","PCA5CU","Phragmites","Typha","No","070617","154"
"287","PCA5CU","Phragmites","Typha","No","100517","70"
"288","PCA5CU","Phragmites","Typha","No","160617","187"
"289","PCA5CU","Phragmites","Typha","No","270517","137"
"290","PCA5CU","Phragmites","Typha","No","280617","188"
"291","PCA6","Phragmites","Typha","Yes","070617","134"
"292","PCA6","Phragmites","Typha","Yes","100517","58"
"293","PCA6","Phragmites","Typha","Yes","160617","159"
"294","PCA6","Phragmites","Typha","Yes","270517","117"
"295","PCA6","Phragmites","Typha","Yes","280617","162"
"296","PCA6CU","Phragmites","Typha","No","070617","112"
"297","PCA6CU","Phragmites","Typha","No","100517","60"
"298","PCA6CU","Phragmites","Typha","No","160617","134"
"299","PCA6CU","Phragmites","Typha","No","270517","106"
"300","PCA6CU","Phragmites","Typha","No","280617","135"
"301","PCC1","Phragmites","Calamagrostis","Yes","070617","167"
"302","PCC1","Phragmites","Calamagrostis","Yes","100517","52"
"303","PCC1","Phragmites","Calamagrostis","Yes","160617","210"
"304","PCC1","Phragmites","Calamagrostis","Yes","270517","137"
"305","PCC1","Phragmites","Calamagrostis","Yes","280617","210"
"306","PCC1CU","Phragmites","Calamagrostis","No","070617","125"
"307","PCC1CU","Phragmites","Calamagrostis","No","100517","49"
"308","PCC1CU","Phragmites","Calamagrostis","No","160617","147"
"309","PCC1CU","Phragmites","Calamagrostis","No","270517","108"
"310","PCC1CU","Phragmites","Calamagrostis","No","280617","150"
"311","PCC2","Phragmites","Calamagrostis","Yes","070617","163"
"312","PCC2","Phragmites","Calamagrostis","Yes","100517","51"
"313","PCC2","Phragmites","Calamagrostis","Yes","160617","205"
"314","PCC2","Phragmites","Calamagrostis","Yes","270517","126"
"315","PCC2","Phragmites","Calamagrostis","Yes","280617","219"
"316","PCC2CU","Phragmites","Calamagrostis","No","070617","180"
"317","PCC2CU","Phragmites","Calamagrostis","No","100517","54"
"318","PCC2CU","Phragmites","Calamagrostis","No","160617","217"
